Brand_Id,P_Id,Name,Price,Colour,Brand_Name,Ratingcount,Avg_Rating,Description,Occasion,Pattern,Print or Pattern Type,Fabric,Wash Care,Sustainable,Body or Garment Size,Closure,Length,Number of Pockets
772.0,16185008,SALWAR STUDIO Girls Cream & Peach-Coloured Embroidered Lehenga Choli with Dupatta,5725.0,Cream,Salwar Studio,0,0.0,cream amp peach coloured embroidered ready wear lehenga choli amp dupatta cream coloured embroidered blouse round neck sleeveless button closure peach coloured striped lehenga choli elasticated waistband drawstring closure flared hem peach coloured striped dupatta taping borderlehenga fabric silk blend blouse fabric silk blend dupatta fabric silk blend dry clean,Party,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Above Knee,NA
772.0,18778832,SALWAR STUDIO Girls Pink & Gold-Toned Printed Ready to Wear Lehenga & Blouse With Dupatta,4075.0,Pink,Salwar Studio,0,0.0,pink gold toned printed lehenga choli dupatta pink gold toned printed ready wear blouse round neck short sleeves pink gold toned printed ready wear lehenga zip closure straight hem pink gold toned printed dupatta borderdry clean onlyregular fit,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,NA,Crop,NA
772.0,10562820,Salwar Studio Women Black Embroidered Dupion Silk Readymade Padded Saree Blouse,4995.0,Black,Salwar Studio,0,0.0,black embroidered readymade saree blosue round neck short sleeves button closurethe model height wearing size sdupion silk first wash dry clean,Casual,Solid,NA,Acrylic,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
772.0,17690172,SALWAR STUDIO Women Silver Embellished Saree Blouse,4025.0,Silver,Salwar Studio,0,0.0,silver coloured embellished saree blouse round neck short sleeves hook eye closure front tie detail backfirst wash dry clean onlyregular fit model height wearing xxs,Casual,Printed,NA,Polyester,Machine Wash,Regular,Garment Measurements in,NA,NA,NA
772.0,13164016,SALWAR STUDIO Women Gold-Coloured Embroidered Readymade Saree Blouse,4155.0,Gold,Salwar Studio,50,4.0,gold coloured net sequin embroidered saree blouse padded v neck sleeveless back open disclaimer product colour may slightly vary due photographic lighting sources monitor settings regular fitnet first wash dry clean,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Zip,Crop,2
772.0,17405458,SALWAR STUDIO Women Siver-Colored Sequence Embroidered Cotton Readymade Saree Blouse,1455.0,Silver,Salwar Studio,7,3.7,siver colored sequence embroidered saree blouse round neck sleeveless back hook eye closure disclaimer product colour may slightly vary due photographic lighting sources monitor settingscotton first wash dry clean onlyregular fit model height wearing size,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,NA,Regular,2
772.0,17405456,SALWAR STUDIO Women Black Sequin Embroidered Cotton Saree Blouse,1455.0,Black,Salwar Studio,7,3.6,black sequence embroidered saree blouse round neck padded sleeveless back hook eye closure disclaimer product color may slightly vary due photographic lighting sources monitor settings regular fit model height wearing size scotton first wash dry clean,Casual,Self Design,NA,Polyester,Machine Wash,Regular,Garment Measurements in,NA,NA,NA
890.0,18446902,The Souled Store Women Blue Tie Dye Printed T-Shirt & Joggers,2499.0,Blue,The Souled Store,12,4.9,women blue tie dye printed shirt amp joggersmaterial amp care cotton machine wash,Casual,Solid,NA,Polyester,Machine Wash,Regular,Garment Measurements in,Button,NA,4
890.0,16709870,The Souled Store Women Green Soild Co-Ords,1499.0,Green,The Souled Store,0,0.0,co ords set consists top shorts green solid top round neck short sleeves green solid shorts drawstring closure two pocketspolycotton machine washthe model height wearing size,Casual,Solid,Self Design,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Knee Length,NA
890.0,19168688,The Souled Store Women Pink Printed Garfield Cotton Shorts,999.0,Pink,The Souled Store,0,0.0,pink graphic printed mid rise regular shorts pockets drawstring closurecotton machine washregular fit model height wearing size,Casual,Printed,NA,Polyester,Machine Wash,Regular,Garment Measurements in,NA,NA,NA
890.0,19386420,The Souled Store Women Grey Melange Solid Co-Ords,2499.0,Grey Melange,The Souled Store,0,0.0,co ords consists shirt pants grey melange solid shirt round neck full sleeves grey solid pants elasticated waistband drawstring closure pocketscotton blend machine washthe model height wearing size xxs,Casual,Self Design,NA,Polyester,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
890.0,17631740,The Souled Store Women Black & Grey Colourblocked Co-Ord Set,1999.0,Black,The Souled Store,0,0.0,top designcolourblocked sweatshirt round necklong sleevesbottom designcolourblocked joggershas drawstring closure pocketssweat gym lounge around house souled store black mesh coord set go pick anything everything stitched looper fabric women coord set designed fit perfectly keep ease day long style tip complete look pair comfy socks home style pair sneakers perfect sporty look shop black mesh coord set women exclusively souled store model height wearing size scotton blend machine wash,Casual,Printed,NA,Viscose Rayon,Machine Wash,Regular,Garment Measurements in,NA,Longline,NA
890.0,18442316,The Souled Store Women Navy Blue & Yellow Tweety Printed T-Shirt & Shorts Set,1499.0,Navy Blue,The Souled Store,0,0.0,co ord set consist shirt amp shorts navy blue amp yellow tweety printed shirt round neck long sleeves navy blue amp yellow tweety printed shorts drwastring closure pocketsmaterial amp care cotton polyester machine washthe model height wearing size,Casual,Printed,NA,Cotton,Machine Wash,Regular,Garment Measurements in,Concealed Zip,NA,NA
890.0,16709864,The Souled Store Pink Women Disney Printed Co-Ords,1499.0,Pink,The Souled Store,0,0.0,official licensed disney women co ord set take bow someone compliments cute look co ord set ditch dating apps found perfect match make stand wherever go also feeling good day long made premium cotton fabric cutest prints co ord set always make work home days comfy stylish offers snug fit sits well body style tip complete look pair comfy socks snuggly home style grab one follow u eu standards sizes vary inches bleach,Casual,Colourblocked,Colourblocked,Acrylic,Machine Wash,Regular,Garment Measurements in,Half Zipper,Regular,NA
890.0,17604924,The Souled Store White Harry Potter Printed Co-Ords,1999.0,White,The Souled Store,10,4.4,co ords set consists shirt trouser white printed shirt round neck short sleeves white solid trouser elasticated waistband drawstring closure two pockets rayon machine washthe model height wearing size,Casual,NA,NA,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button and Zip,Cropped,5
