P_Id,Pattern
14350804,Solid
17660322,Solid
14350802,Solid
10742374,Solid
10946032,NA
16100932,Solid
14873642,Solid
16200770,NA
10761774,Printed
15221802,Striped
16814656,Solid
15927636,NA
13401756,Striped
17442762,Checked
15038588,Solid
15637556,Solid
8195013,Solid
12289142,Solid
13295448,Printed
14537132,Printed
16607294,Printed
8119623,Solid
16814658,Printed
11992706,Solid
15982544,Solid
14873644,Solid
19228042,Solid
19227970,NA
14864068,Solid
15221800,Solid
18662318,Solid
12009524,Solid
14995806,NA
15221794,Solid
16091198,Solid
12682118,Solid
18207456,Printed
14424400,Solid
15428190,Solid
16814696,NA
12391802,Solid
8002223,Solid
15428210,Solid
16222482,Solid
14170730,Solid
18787822,Solid
15927598,Solid
16519972,NA
8083191,Solid
16607340,Solid
19227290,Solid
12391800,Solid
15953964,Solid
15092136,Solid
15026866,NA
12289124,Solid
16201412,Solid
14996606,Solid
15038606,Solid
16222428,Colourblocked
16337684,Solid
17602874,Solid
16181558,Solid
16337706,Solid
14695632,Solid
15038602,Solid
15092118,Printed
15038598,Solid
18876322,Self Design
16256360,Solid
18787834,Solid
17446056,Solid
10841116,Solid
15038552,Solid
16404086,Solid
16814638,Solid
15927592,NA
12408994,Solid
16222490,Solid
12479224,Solid
15562184,Solid
16100940,Printed
15637548,Solid
14929672,Solid
12921090,Printed
13641432,Solid
12225702,Solid
13493068,Solid
16128978,Striped
13421980,NA
10641924,Solid
15982516,Solid
16099772,Self Design
14879080,NA
15026840,Solid
15104520,Solid
16337736,Solid
17445890,NA
12789980,Solid
16404092,Solid
14444114,Solid
2137522,Solid
17660338,Solid
15756526,NA
16814706,Solid
14996620,Solid
17660298,Solid
16099764,Solid
17194590,Checked
15038610,Solid
12122504,NA
9656695,Solid
17442766,Solid
15953974,Solid
12391754,Solid
14402466,Solid
18379052,Solid
17003578,Solid
17162218,Solid
18600642,Solid
17442778,NA
15165382,Solid
14444094,Checked
15953986,Solid
14985192,Solid
15953980,Solid
19293778,NA
15092120,Solid
16091212,Solid
12999602,Solid
18787838,Solid
8326469,Solid
17442600,Solid
15982422,Solid
16091194,Solid
17446048,Solid
15927654,Printed
12498202,Solid
17538108,Solid
15026846,Solid
14474360,NA
15136566,NA
16200858,Solid
16522912,Solid
19293792,Solid
19293776,Solid
19293774,Solid
10847836,Solid
13133120,Printed
18829044,Solid
17442650,Solid
14189882,NA
14974274,Solid
15165384,NA
15562206,NA
15953978,Solid
16256324,Solid
18787840,Striped
16569580,Self Design
16607290,NA
15982494,Solid
15428176,Solid
12289128,Self Design
12261662,Solid
9920745,Solid
16814680,Solid
10380849,Solid
18600648,Embellished
17209144,Solid
15165380,Solid
15454268,Solid
17537956,Solid
10847838,Embroidered
15678694,Solid
11330252,Embellished
12499372,Self Design
10891180,Solid
7754471,Solid
17538040,Solid
11970538,Solid
8119635,Colourblocked
13387676,Solid
17143174,NA
17143504,Striped
13194606,Printed
17537810,NA
17442826,Solid
10698744,Solid
13178044,Solid
14444090,Solid
11110484,NA
16404046,NA
14447568,NA
1192989,NA
15982564,NA
17537814,Solid
13078876,Checked
15953966,Striped
10990320,NA
10967792,Printed
11110488,NA
12981550,Solid
16256354,NA
17162228,Solid
7780973,Solid
17442836,NA
14427250,NA
12828202,Solid
14695624,Solid
18207452,NA
17442622,NA
17660318,NA
16404082,Solid
9440729,Striped
13239958,Solid
16404060,Solid
16483784,Solid
17442596,Printed
7211114,Solid
2243366,Printed
16222514,Printed
14324806,Printed
16846766,Printed
16045384,Striped
16190872,Printed
15150620,Printed
12135374,Checked
16259320,Striped
7763575,Printed
13903198,Solid
16234890,Solid
17104862,Printed
